evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,struct_only,homology,>=60%,Macro_Fmax,31,ok,5,0.651589294307723,0.008882532286721324,0.6508678057150503,0.6388716829118601,0.6619377926410651
test,biological_process,GAT,struct_only,homology,>=60%,Micro_AUPRC,31,ok,5,0.04758357279116012,0.019162238993793556,0.0431763550550755,0.0275863920533058,0.0776506185082253
test,biological_process,GAT,struct_only,homology,>=60%,Micro_AUROC,31,ok,5,0.6596054584728478,0.0176405159835413,0.667747694571405,0.629400368653009,0.6716549917082337
test,biological_process,GAT,struct_only,homology,>=60%,Micro_Fmax,31,ok,5,0.11493293992416236,0.0333630528475139,0.121843873023638,0.0807387862400772,0.1625652497780258
test,biological_process,GAT,struct_only,homology,>=60%,Smin,31,ok,5,225.98717311505348,0.0,225.98717311505348,225.98717311505348,225.98717311505348
test,biological_process,GAT,struct_only,homology,no_hit,Macro_AUPRC,612,ok,5,0.03888363954442724,0.0012911547578664442,0.0386481751094942,0.0373323635269344,0.0408864271630383
test,biological_process,GAT,struct_only,homology,no_hit,Macro_AUROC,612,ok,5,0.5012549797282968,0.010851745618028884,0.5046156231013716,0.4862041007185865,0.5133717448464671
test,biological_process,GAT,struct_only,homology,no_hit,Macro_Fmax,612,ok,5,0.07475843962400328,0.0018064477426625962,0.0747506325652764,0.071880044120233,0.0765987881005487
test,biological_process,GAT,struct_only,homology,no_hit,Micro_AUPRC,612,ok,5,0.02254064993497274,0.004842187299884711,0.020753029187426,0.0172330527340391,0.0298774908174233
test,biological_process,GAT,struct_only,homology,no_hit,Micro_AUROC,612,ok,5,0.7020873086492685,0.016306841727124346,0.7101652240310814,0.6784532290221372,0.7161051478894047
test,biological_process,GAT,struct_only,homology,no_hit,Micro_Fmax,612,ok,5,0.06506559467731374,0.017666861726077957,0.0648409918591323,0.0467245884437366,0.088189403658074
test,biological_process,GAT,struct_only,homology,no_hit,Smin,612,ok,5,93.65154805935286,0.0,93.65154805935286,93.65154805935286,93.65154805935286
test,biological_process,GAT,struct_only,ic,2-4_bits,Macro_AUPRC,10,ok,5,0.8400000000000001,0.058452259722500614,0.8166666666666668,0.7666666666666666,0.9
test,biological_process,GAT,struct_only,ic,2-4_bits,Macro_AUROC,10,ok,5,0.55,0.06846531968814577,0.5,0.5,0.625
test,biological_process,GAT,struct_only,ic,2-4_bits,Macro_Fmax,10,ok,5,0.8333333332879631,0.04140866624838577,0.8518518518057614,0.7592592592167696,0.8518518518057614
test,biological_process,GAT,struct_only,ic,2-4_bits,Micro_AUPRC,10,ok,5,0.025108076332423478,0.009754278734547685,0.0299924870653038,0.0085437319390857,0.0321793400030813
test,biological_process,GAT,struct_only,ic,2-4_bits,Micro_AUROC,10,ok,5,0.9113695751484695,0.024796598765330625,0.9236272270443124,0.8678163544997715,0.925810872544541
test,biological_process,GAT,struct_only,ic,2-4_bits,Micro_Fmax,10,ok,5,0.09708623801292494,0.05105606644178862,0.1039999999852799,0.026885735620657,0.1666666666222222
test,biological_process,GAT,struct_only,ic,2-4_bits,Smin,10,ok,5,10.808560347557068,0.0,10.808560347557068,10.808560347557068,10.808560347557068
test,biological_process,GAT,struct_only,ic,4-6_bits,Macro_AUPRC,16,ok,5,0.36120833304427047,0.03094122326545772,0.3576624258264883,0.3174361445845821,0.3954427878256003
