trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,gradient_clip,patience,loss,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_025,cellular_component,2.0304839058310506e-05,0.0027176831523297723,0.4,128,32,0.5,8,BCE,,0.2676312319584636,0.2664722056500652,0.1671685038082954,0.18872720705437457,0.731066956398847,0.5784422426722878,33.126229518726966
trial_025,molecular_function,2.0304839058310506e-05,0.0027176831523297723,0.4,128,32,0.5,8,BCE,,0.2621687652691971,0.29915371348752196,0.19793065267196336,0.22244521611552517,0.8483872253351729,0.7399679984931763,27.374123470734972
trial_026,biological_process,0.00037450262123488637,0.003738314184453378,0.2,512,64,5.0,9,BCE,,0.27779153255712996,0.25685336434956724,0.20408381446896195,0.19844740807117175,0.8043313220625746,0.6535989904525424,41.43781422345066
trial_026,cellular_component,0.00037450262123488637,0.003738314184453378,0.2,512,64,5.0,9,BCE,,0.43572245670732695,0.373577253781265,0.35871398007786615,0.284299790494011,0.7688767624547815,0.693779538028348,28.978798859476438
trial_026,molecular_function,0.00037450262123488637,0.003738314184453378,0.2,512,64,5.0,9,BCE,,0.38434579439202515,0.3364655628284278,0.30648789635330065,0.27081436080179777,0.7809246397574308,0.6898719933699744,24.836867508257555
trial_027,biological_process,3.072078384147174e-05,1.5170354684755e-06,0.0,256,64,1.0,9,Focal,1.0,0.2684110206199363,0.23668692247100884,0.18274209338419972,0.17590980140881574,0.7556771282044592,0.6343027407121111,41.528688078650546
trial_027,cellular_component,3.072078384147174e-05,1.5170354684755e-06,0.0,256,64,1.0,9,Focal,1.0,0.44537999385995697,0.3194081312358094,0.3472073944392196,0.23903974156397978,0.745758554873599,0.5880392165233425,28.779405350819847
trial_027,molecular_function,3.072078384147174e-05,1.5170354684755e-06,0.0,256,64,1.0,9,Focal,1.0,0.35955056179732403,0.30838134275216195,0.2924778402149136,0.23864609422854205,0.7968127469693076,0.7060878369345903,24.635616796341605
trial_028,biological_process,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,5.0,10,Focal,2.0,0.26752083976489766,0.2765621905208095,0.22027669687117957,0.2118438699139506,0.8323635259953523,0.6691645696340205,41.36992204846428
trial_028,cellular_component,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,5.0,10,Focal,2.0,0.44171031794322285,0.36239974589498763,0.3527000873851623,0.2811751150244318,0.7885031045380614,0.6363533624393335,28.87665534790026
trial_028,molecular_function,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,5.0,10,Focal,2.0,0.39934994582831923,0.3578764356913006,0.334758887412578,0.2861010653581761,0.8496881863501109,0.7768285662819844,24.521882067258083
trial_029,biological_process,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,1.0,9,BCE,,0.27620841180117617,0.25378248095245665,0.1884841219583027,0.18154959390455874,0.8017051055792026,0.6998434628772671,42.047363040821665
trial_029,cellular_component,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,1.0,9,BCE,,0.4572948477977546,0.28270008565942073,0.40201469411148294,0.20880318261380132,0.7723709232164573,0.6092620351511987,28.30674555997111
trial_029,molecular_function,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,1.0,9,BCE,,0.22790466732820708,0.27001403360208664,0.16561188166004034,0.1989871457621449,0.8174594415488128,0.7198180835490606,27.515869795299466
trial_030,biological_process,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,1.0,10,Focal,1.0,0.19045779408874292,0.24939986493884655,0.13410451144323526,0.15693757198130712,0.8464728729576382,0.6943865031932622,45.6024158736317
trial_030,cellular_component,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,1.0,10,Focal,1.0,0.469391289288616,0.3665575185708403,0.40187895344610247,0.26932940861060467,0.8169377609070413,0.6759370575004813,27.965740986804402
trial_030,molecular_function,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,1.0,10,Focal,1.0,0.28169014084459393,0.3336417748983687,0.2259755260745776,0.2559177723212626,0.8482375564201617,0.6812723369060536,25.696593784576308
trial_031,biological_process,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,1.0,8,Focal,2.0,0.28258872651314215,0.26310311253494,0.2114740378219394,0.19338697089300855,0.8109049541183374,0.6735025853877429,41.405415635210076
trial_031,cellular_component,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,1.0,8,Focal,2.0,0.4380218924409833,0.33507619275441897,0.36390674299978487,0.241583707740014,0.7699278929611023,0.6345734234294703,29.798327259442043
trial_031,molecular_function,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,1.0,8,Focal,2.0,0.3562761967786749,0.31364303515206143,0.28562824879469917,0.24017079831020624,0.8203586126106515,0.6878195034697672,25.64017087990775
trial_032,biological_process,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,1.0,8,Focal,2.0,0.10282201732277757,0.26313631895498996,0.05337296964659867,0.16355622986697174,0.8478197667342848,0.7266200409378611,48.92168245219209
trial_032,cellular_component,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,1.0,8,Focal,2.0,0.3900205834334023,0.3318434806835758,0.26963054809229625,0.2156315740734001,0.816271535665034,0.6621565407685417,34.39674948475754
trial_032,molecular_function,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,1.0,8,Focal,2.0,0.11857728989462941,0.3288121088856286,0.0466836999411008,0.22644101422481658,0.8208983244854726,0.7880646548567037,29.989774718208718
trial_033,biological_process,0.0027705153087256443,4.5960195338023743e-07,0.2,128,64,0.5,9,Focal,3.0,0.18061069804326366,0.262803108390224,0.11124306275732877,0.1826765232345752,0.8576886154166163,0.7275840322681859,45.86968212754247
